question,answer
What is a distinctive characteristic of monotremes and therians regarding their hearing?,They detach the malleus and incus from the dentary and combine them to the stapes in the tympanic cavity.
What is a characteristic of placentalian mammals?,They have a developed placenta which penetrates the uterus walls
What was an early characteristic of Plesiadapis?,"It had claws and eyes on the side of its head, making it faster on the ground than in trees."
When did Plesiadapiformes first appear in the fossil record?,66 million years ago
Are male platyrrhines color blind?,true
What is the favored hypothesis for how the ancestors of Platyrrhini migrated to South America?,a land bridge
What was the genetic origin of human trichromatic color vision?,This period
What are some ape-like features shared by Proconsul africanus?,"lack of a tail, ape-like elbows, and slightly larger brain relative to body size"
What special adaptations did the earliest known human ancestors have for tree climbing?,"A wide, flat rib cage, a stiff lower spine, flexible wrists, and shoulder blades that lie along its back."
What is the estimated time when speciation may have begun between chimpanzees and humans?,10 Ma
What is the approximate time period when Ardipithecus lived?,c. 7 Ma
What is the time period during which Australopithecus afarensis lived?,3.9 to 2.9 million years ago
What was the estimated brain size of A. afarensis?,380-430 cm3
What age did Australopithecus garhi start using stone tools?,2.5 Ma
"What is the estimated age of LD 350-1, the earliest known specimen of the genus Homo?",2.75–2.8 Ma
What is the estimated age of H. habilis and H. rudolfensis?,2.4 Ma
What is the approximate duration during which Homo habilis coexisted with Homo erectus?,almost half a million years
When did H. erectus first reach Southeast Asia?,0.7 Ma
"What percentage of DNA do humans share with their closest living evolutionary relative, the chimpanzees?",95-99%
What was previously thought to be a likely candidate for the last common ancestor of the Neanderthal and modern human lineages?,Homo heidelbergensis
What is the approximate age of Homo antecessor?,"600,000 to 800,000 years ago"
What is one possible reason for the increase in human intelligence 0.2 Ma?,extinction of most African megafauna
What is the primary function of intelligence in the context mentioned?,Survival
When did humans stop their brain expansion?,By 200 ka
What is the estimated age of the earliest fossil evidence for anatomically modern Homo sapiens?,"300,000 years ago"
"What is the estimated age of the remains found in Apidima Cave, Peloponnese, Greece?","210,000 years old"
"When did the appearance of mitochondrial haplogroups L2, M, and N occur?","The appearance of mt-haplogroups L2, M, and N occurred early in human history."
What is the type of archaic admixture found in Eastern Eurasia?,Denisovans
"What was the name of a human variant that became extinct, with possible survival of hybrid populations in Asia and Africa?",Neanderthals
When did extinction of late surviving archaic humans occur?,"The extinction of late surviving archaic humans occurred at the beginning of the Holocene, which is approximately 12 ka (thousand years ago)."
What is the study of ancient DNA using molecular genetic methods and resources?,Archaeogenetics
What does the term 'arkhaios' mean in the context of archaeogenetics?,Ancient
Who conceived the term archaeogenetics?,Colin Renfrew
What did Hirszfeld discover in 1919 during his study at the Macedonian front?,That there was no correlation between hair color and blood type
What is the blood group ratio that AB blood type mothers have a high male-to-female birth ratio?,Male-to-female
What was Arthur Mourant's contribution to the genetic map of the world?,His investigation of blood groups in many populations
What is the foundation of archaeogenetics?,His work
What was William Boyd's area of research?,immunochemistry and biochemistry
What is a result of Boyd's systematic collection and classification of blood samples?,"That blood groups are not influenced by the environment, and are inherited"
In what year did Boyd categorize the world population into 13 distinct races?,1950
What is one way to identify potential excavation sites?,With the mineralogy of the location and visual detection of bones
What is one way to avoid contaminating ancient DNA?,Handling specimens with gloves and storing them in -20 °C immediately after being unearthed
When is the best time to extract DNA from a fossil?,When it is freshly out of the ground
What factor can affect the amount of obtainable DNA from a fossil?,The temperature of extraction site
How much does bacterial putrefaction cause DNA degradation in a fossil?,15-fold
What type of method uses silica to extract ancient DNA from bone samples?,One of the more common methods
What is the typical length of DNA strands found in ancient samples?,100 base pairs
What type of samples is recommended for ancient DNA extraction work?,Fresh fossils
What is used as a means to bind DNA in the silica-based DNA extraction method?,Silica
What is one advantage of using the silica-based method for DNA extraction?,It is relatively quick and efficient
What is the limitation of silica-based DNA extraction method?,It can only be applied to bone and teeth samples
What are the three main steps in the polymerase chain reaction process?,"Denaturation, annealing, and extension"
What is one issue with using PCR on ancient DNA?,It requires overlapping primer pairs
What type of sequencing technology is commonly used to analyze DNA extracted from fossil remains?,Massive parallel sequencing
What is one method used for massive parallel sequencing?,"One method of massive parallel sequencing, developed by Margulies et al"
What type of PCR does the employed method use?,bead-based emulsion PCR
What software tool is used to compare DNA sequences with those of known species?,BLASTN
What is a common application of aDNA comparison studies in evolutionary biology?,Estimating the divergence time of two species from their last common ancestor
What type of DNA is usually used for investigating relationships between two species?,Mitochondrial DNA in animals and chloroplast DNA in plants
How strong was the ancient human-Neanderthal hybridization signal in the study by Scholz et al.?,Weak
How are humans and Neanderthals related in terms of their genetic diversity?,Not as closely related as two individuals of the same species are
What is the similarity found between the aDNA sequence from Neanderthal Vi-80 fossil and modern human X chromosome sequence?,"2.18 bases per 10,000"
How many males and females are thought to have left Africa in the earliest human population?,approximately 1500
What was the number of populations studied in one research that suggested an ancient geographic structure to African populations?,121
When did Bantu speakers migrate into Southern Africa?,approximately 5 kya
When did modern humans occupy Eurasia?,Between 60 and 70 kya
"When did occupation of the Near East and Europe occur, according to genetic evidence?",50 kya
What percentage of extant European mtDNAs did M.B. Richards estimate came from Near Eastern populations during the Neolithic?,10-22%
When did the reoccupation of northern Europe by modern Europeans occur?,After the end of the Last Glacial Maximum (LGM)
When did Austro-Asiatic speakers enter India?,about 45–60 kya
When did migrations from West Asia and Central Asia to India occur?,no earlier than 8 kya
What is the approximate time frame for the second major dispersal of humans out of Africa?,15-50 kya
What is a conclusion archaeologists have drawn about the origins of northeast Asian groups?,That they came from the southeast
What was found to be correlated with latitude in the Pan-Asian SNP study?,Haplotype diversity
What did the Pan-Asian SNP study find about the relationships between Negrito populations in Malaysia and those in the Philippines?,That they were more closely related to non-Negrito local populations than to each other
What is the estimated age range for Native American mtDNA haplogroups?,15 and 20 kya
What is one possible migration path from which humans originated?,From Siberia to South America
What conclusion have some scientists reached about a southern migration into the Americas?,That it is impossible
What is a notable difference found in non-coding regions of mtDNA between Aboriginal populations of Australia and New Guinea?,There are 'no similarities' between them.
What was affected primarily by the bottleneck effect according to the text?,Males
"When did the splitting event between the two groups occur, according to NRY and mtDNA studies?",over 50 kya
What type of DNA is used over mitochondrial and chloroplast DNA for tracing genealogy due to its faster mutation rate?,Nuclear DNA
What is an outcome of studying archaeogenetics in plant domestication?,The signs of the first global economy can be uncovered
What is one use of archaeogenetics in studying animal domestication?,To search for genetic markers in DNA to give valuable insight about possible traits of progenitor species
What is one example of how archaeogenetics has been used?,tracing the domestication of pigs throughout the old world
What is known to be true based on genetic studies about the origin of all dogs?,That all dogs are descendants from the gray wolf
What is a result of humans domesticating dogs?,Archaeological remains of buried dogs become increasingly more abundant
What types of evidence do scholars use to study the origins of language?,"The fossil record, archaeological evidence, and contemporary language diversity"
What do many people argue about regarding the origins of language?,The close relation between the origins of language and the origins of modern human behavior
What was the year when the Linguistic Society of Paris banned any existing or future debates on the topic of language?,1866
What was lacking in understanding about the origin of language as of 1996?,A scientific consensus
What is the prevailing theory among linguistic scholars regarding the origin of language?,Continuity-based theories
What do some researchers believe is a precursor to vocal human language?,Early human capacities for song
When did Noam Chomsky propose the development of a common language faculty in humans?,"approximately 100,000 years ago"
What does the emergence of language imply about changes to the human language faculty?,No major change to the human language faculty has occurred since they left Africa.
What do scholars in this intellectual camp argue about the origin of language?,"That even if a chance mutation were to install a language organ in an evolving bipedal primate, it would be adaptively useless under all known primate social conditions"
What is required for 'cheap signals' such as words to become an evolutionarily stable strategy?,A very specific social structure capable of upholding unusually high levels of public accountability and trust
What is an example of a language-relevant gene that may be found in early human fossils?,FOXP2
What is the type of behavior mentioned as potentially leaving an archaeological trace?,Symbolic behavior
What is the estimated time range for the evolution of language or its anatomical prerequisites?,"50,000–150,000 years ago"
When did scholars estimate the development of language proper?,"less than 200,000 years ago"
When did linguist Johanna Nichols argue that vocal languages began diversifying in the human species?,"At least 100,000 years ago"
Where is it believed that language likely emerged?,Sub-Saharan Africa
Who published a list of speculative theories concerning the origins of spoken language in 1861?,Max Müller
What is the main obstacle to the evolution of language-like communication in nature from the perspective of signalling theory?,Not a mechanistic one
"According to the text, which of the following is an example of an intrinsically reliable animal vocal signal?",When a cat purrs
What is a characteristic of primate vocal calls?,They are hard to fake
What is theorized to block the evolution of primates' signalling systems along language-like lines?,Primates' resistance to deception
What is a key feature of language mentioned in the context?,displaced reference
What is the primary property that prevents utterances from being corroborated in the immediate 'here' and 'now'?,The primary property that prevents utterances from being corroborated in the immediate 'here' and 'now' is the fact that language presupposes relatively high levels of mutual trust.
Who proposed the 'mother tongues' hypothesis as a possible solution to a problem in 2004?,W. Tecumseh Fitch
"What is the initial context in which language evolved, according to the given text?",Communication between mothers and their own biological offspring
What aspect of the kin selection theory does critics argue needs further explanation?,The extension of the 'mother tongue' networks from close relatives to more distant relatives
What is the reason Fitch gives for the human-infant relationship being different from other species?,The extended period of physical immaturity of human infants and the postnatal growth of the human brain
What type of relationships does ordinary Darwinian reciprocal altruism typically establish?,Between frequently interacting individuals
What is the condition for language to prevail across an entire community according to Ulbæk's theory?,Universal enforcement of reciprocity
Do humans typically withhold information until receiving valuable feedback from others?,false
"What is the primary function of gossip in human social dynamics, according to Robin Dunbar's book?",It allows individuals to service their relationships and maintain their alliances.
What did humans develop in response to the time-consuming task of manual grooming in large social groups?,Vocal grooming
What is one criticism of Dunbar's hypothesis on the evolution of language?,The efficiency of vocal grooming would undermine its capacity to signal commitment
Who proposed the original idea of the ritual/speech coevolution theory?,Roy Rappaport
"What do Luc Steels, Terrence Deacon, and Cedric Boeckx argue about the origins of language?",That there can be no theory of the origins of language
What is the wider domain that language is considered an internal aspect of?,human symbolic culture
What is required for language to work according to the author?,The establishment of 'The Word' through the invariance of liturgy
What do advocates of this school of thought claim is the problem with nonhuman apes using words in the wild?,That the words would carry no conviction
Can oral and gestural languages evolve in a Darwinian social world?,No
What is the primary mechanism for establishing trust in symbolic cultural facts in a hunter-gatherer society?,Collective ritual
What is the main task facing researchers into the origins of language?,"Addressing the evolutionary emergence of human ritual, kinship, religion and symbolic culture taken as a whole"
"According to Darwinian signal evolution theory, what kind of signals are words?",Patently false signals
What type of facts are linguistic utterances according to Boeckx?,Institutional facts
"According to the context, what is required for linguistic communication to work?",upholding the levels of trust
What type of communication would the signaler focus on under social conditions where trust is taken for granted?,Digital signaling
What is the primary reason why animal communication cannot be digital?,Because it does not have the luxury of being patently false.
What is the term used by Noam Chomsky to describe the speech/ritual co-evolution idea theory?,The 'non-existence' hypothesis
When did Acheulean tool use begin?,approximately 1.75 million years ago
What type of ultrasonography did researchers use to test participants?,functional transcranial Doppler ultrasonography (fTDC)
"What was found to be used in the same brain areas, according to the study by Uomini et al.?",Cued word generation and Acheulean tool use
"According to the text, what is the relationship between tool use and language production?",Working and planning memory
"According to Antoine Arnauld's Port-Royal Grammar, what motivated people to create language?",Their social and rational nature
What was Ferdinand de Saussure's conclusion about evolutionary linguistics?,That it would not be able to provide any further revolutionary insight after the completion of major works in historical linguistics
What was Saussure's proposed solution to the problem of language evolution?,Dividing theoretical linguistics into diachronic linguistics
What is the primary focus of synchronic linguistics?,A study of a given contemporary or historical language stage as a system in its own right
"According to Claude Lévi-Strauss, when did language and meaning appear?",in an instant
Who introduced structuralism to sociology?,Émile Durkheim
Do novel technologies often lead to the creation of new words?,true
"According to Chomsky's single-mutation theory, when did language emerge within the history of human evolution?",suddenly
Is the scenario described in Berwick's text a common occurrence in modern biology?,true
What is a key concept missing from recent accounts of human language evolution?,The fully stochastic modern version
What is one topic that recent books on the evolution of language do not thoroughly explore?,Evolutionary outcomes affected by genetic or individual innovations
What was the primary factor that allowed Homo sapiens to spread rapidly across the planet?,The substantial difference between Homo sapiens and Neanderthals
What is the approximate timeframe during which language emerged according to Berwick and Chomsky?,"Between 200,000 years ago and 60,000 years ago"
What is the estimated time required for the full evolution of a vertebrate eye from a single cell?,within the ballpark
Is it likely for a mutation with a significant fitness effect to take place and become fixed in a species?,No
What is the criticism that questions the logic of the argument for single mutation?,"The criticism argues that from the formal simplicity of Merge, one cannot derive the number of evolutionary steps that led to it."
When did the modern speech apparatus originate?,"over 500,000 years ago"
What is an example of a structure that can be nested within itself?,A sentence
What is the estimated time when significant changes in the modern speech apparatus began to occur?,"600,000 years ago"
What is necessary for early hominins to develop recursive language?,Mental stimulation and recursive elements already in their language
What is the process called when children invent new words or concepts that their parents would not have known yet?,Cryptophasia
When did a genetic bottleneck occur?,"around 70,000 years ago"
What is one theory about how human language developed?,The gestural theory
What happens to people who use sign language and suffer from a left-hemisphere lesion?,They show the same disorders with their sign language as vocal patients do with their oral language.
What is a characteristic gesture exhibited by gorillas?,Beating their breasts
Do humans gesture with their mouths when performing fine motor tasks?,Yes
What was the initial purpose of gestures in human communication?,A sole means of communication
What is the location of the brain center controlling calls in monkeys and other animals compared to humans?,completely different
What is the location of this centre in humans?,an area unrelated to emotion
What is the proposed explanation for the link between gesture and vocalization in 'articulate' language?,That language evolved from equally intrinsically linked dance and song.
What is the main difference between sign languages and oral languages?,"The 'phonemes' are produced on the outside of the body, articulated with hands, body, and facial expression, rather than inside the body articulated with tongue, teeth, lips, and breathing."
What type of vocal communication was initially present in primates?,Pitch-based
Is primate vocal communication capable of being controlled consciously?,No
What type of responses are mentioned in the context?,Involuntary responses
What are some situations where gesture can be advantageous?,"in a loud environment or where it is important to be silent, such as on a hunt"
What is suggested to have contributed substantially to the production and perception of sound?,The production and perception of tool-use sound (TUS) and incidental sound of locomotion (ISOL)
What type of brain processing does self-produced TUS activate?,Multimodal brain processing
What is the evolutionary association mentioned in the context?,vertebrate vocal communication
Where are areas homologous to the monkey mirror neuron system found in humans?,"In the inferior frontal cortex, close to Broca's area"
What has been suggested as a possible mechanism for the evolution of human language?,A gesture performance/understanding system implemented in mirror neurons
What is a possible scenario where children can vocally imitate non-words?,Speech shadowing or echolalia
What is the type of study used to measure brain activity in participants?,fMRI
What did Granger Causality analysis reveal about the relationship between the observer's and sender's brain activity?,The mirror-neuron system of the observer reflects the pattern of activity in the motor system of the sender.
What is the name of the theory that suggests vocal interactions between early hominid mothers and infants led to the emergence of the first words?,Dean Falk's 'putting-down-the-baby' theory
Why did evolving human mothers have trouble moving around and foraging with their infants?,"Because they lost fur, leaving their infants with no means of clinging on"
What is the name of the book written by psychologist Kenneth Kaye mentioned in the context?,The Mental and Social Life of Babies
What is the primary source of inspiration for the 'from where to what' language evolution model?,The organization of language processing in the brain
What was the original purpose of speech?,Exchanging contact calls between mothers and their offspring to find each other in the event they became separated
What is the purpose of the child's initial low-level distress call in this scenario?,to express a desire to interact with an object
What is the primary method by which infants initially learn phonemes?,Lip-movements
What is the origin of the theory's name?,The theory's name is derived from the two auditory streams
What is the auditory dorsal stream responsible for in primates?,sound localization
"What is responsible for other processes associated with language use and acquisition, such as speech repetition and production?",The left hemisphere
Do mice with knock-out to language-related genes stop emitting contact calls when separated from their mothers?,true
What is a unique human phenomenon that this model explains?,the use of intonations when converting words into commands and questions
What is one reason why grammar evolves?,Humans care less about grammatical niceties than about making themselves understood
What is the purpose of inferring principles of grammar evolution among distant human ancestors?,To reconstruct the evolutionary transition from early language to languages with complex grammars
What is the primary method speakers use to convey abstract ideas?,to fall back on immediately recognizable concrete imagery
What direction does grammaticalisation typically take?,from concrete to abstract
What was the hypothetical scenario discussed in the context where people might have used their nouns as verbs or their verbs as nouns?,"Using, say, 'spear' as if it were a verb ('Spear that pig!')"
"According to grammaticalization theory, can a noun-only language remain fixed in its state for any length of time?",No
What is the primary concern of 'Machiavellian' primates?,Demonstrating reliability
What is an example of accepting fictions as potentially informative and interesting?,Metaphor
What is the basis for grammaticalization according to the speaker?,metaphor
What assumption does grammaticalization theory make about the origin of language?,That language already exists
What are the necessary conditions for grammaticalisation?,A linguistic system that is used regularly and frequently within a community of speakers
"What do dolphins, Eurasian magpies, and chimpanzees exhibit when viewing their own reflections?",Self-consciousness
What helped facilitate human survival and further advancement?,"Tools, shelter, and fire"
What was a result of the increasing brain size during the Palaeolithic era?,Advanced provisioning and tools
What is the main difference in song pattern between white-rumped munias and Bengalese finches?,"The wild munias use a highly stereotyped song sequence, whereas the domesticated ones sing a highly unconstrained song."
How long did it take for the stereotyped song syntax to be replaced in Bengalese finches?,1000 generations
What is the primary forebrain motor centre that connects to midbrain vocal outputs in brains capable of producing only an innate song?,The robust nucleus of arcopallium
What is one way to think about human evolution?,That humans are self-domesticated apes
What relaxed selection for stereotypic songs in the finches?,Mate choice was supplanted by choices made by the aesthetic sensibilities of bird breeders and their customers
What is a unique characteristic of mammalian brain development?,"They construct themselves 'bottom up', with one set of neuronal interactions preparing for the next round of interactions"
What is the primary method of encoding and transmitting linguistic information?,Speech
Do some scholars deny that recursion is a universal feature of human language?,yes
Did captive primates (notably bonobos and chimpanzees) prove able to ask questions?,No
What is a common feature of all languages in the world?,The use of similar rising 'question intonation' for yes-no questions
"According to some authors, what is pivotal in spoken grammar?",sentence intonation/pitch
What cognitive ability is often linked to theory of mind?,Empathy
"According to Simon Baron-Cohen (1999), when did humans use characteristics such as theory of mind?","as much as 40,000 years ago"
Do chimpanzees understand false beliefs?,No
What was the accuracy range of animal subjects in distinguishing between numbers in one particular study?,Numbers less than four
At what age do children typically comprehend the value of greater integers?,5.5 to 6
What is the typical learning process for young children when it comes to understanding numbers?,"They first learn an arbitrary list of symbols (1, 2, 3, 4...) and then later learn their precise meanings."
What is one feature of the lexical-phonological principle?,The sound system of a language is composed of a finite set of simple phonological items
What is a key feature of language?,"That a simple, finite set of phonological items gives rise to an infinite lexical system"
What is another essential feature of human language mentioned in the context?,Lexical syntax
"What is a characteristic shared among bird-song, singing nonhuman apes, and the songs of whales?",Phonological syntax
What type of evidence suggests that Campbell's monkeys display lexical syntax?,New evidence
What are some of the characteristic features of pidgins in their early stage?,"nouns, verbs, and adjectives with few or no articles, prepositions, conjunctions or auxiliary verbs"
What happens to a pidgin language if the children of one generation adopt it as their native language?,It develops into a creole language
What is a characteristic of the grammar of creole languages?,They display remarkable similarities
What is a common word order found in many creoles?,SVO (Subject-Verb-Object)
"What is a characteristic of nonhuman primates, including great apes, regarding their calls?","They are graded, rather than categorically differentiated"
"What is responsible for controlling the muscles of the face, tongue, mouth, and larynx in the primate brain?",The Broca's and Wernicke's areas
What is one type of vocalization made by vervet monkeys?,a 'snake call'
What triggers a different defensive strategy in monkeys who hear the call?,Each call
What is the approximate date for the hominin Ardipithecus ramidus?,4 million years ago
What is the approximate age of the hominin lineage showing evidence of increased vocal capability?,.5 Ma
What is the reason for the difference in vocal tract ratios between A. ramidus and chimpanzees?,The presence or absence of growth factors associated with puberty
What was observed to correlate with reduced aggression and early hominin vocal ability?,Changes in skull architecture
What was lacking in previous studies according to the authors?,an understanding of the relationship between early hominin social evolution and the evolution of language
What are the authors' suggestions about the vocal capabilities of A. ramidus?,May have had vocal capabilities equivalent to a modern human infant or very young child
What did researchers propose about the skull architecture of Ar. ramidus?,They proposed that changes in skull architecture through processes of social selection were a necessary prerequisite for language evolution.
Did Ar. ramidus have vocal capabilities similar to those of chimpanzees and bonobos?,Yes
When did the anatomical features associated with bipedalism develop in australopithecines?,Around 3.5 million years ago
"What is necessary for Early Homo populations to generate modern human sounds, such as vowels?",A specifically shaped voice tract and a lower sitting larynx
Was there a distinct difference found between the hyoid bones of Homo sapiens and Neanderthals?,No
What is the term proposed by Steven Mithen for the pre-linguistic system of communication used by archaic Homo?,Hmmmmm
What is the acronym Hmmmmm typically associated with?,"Holistic, Manipulative, Multi-modal, Musical, and Mimetic"
"Do Pirahã language users in Brazil have a language with mythology, numbers, and colors?",No
"What is the estimated time period when humans had language, according to the given context?",One million years ago
What was discovered in 1989 regarding Neanderthals?,"The Kebara 2 hyoid bone, which suggested they may have been anatomically capable of producing sounds similar to modern humans."
"According to Richard G. Klein, did Neanderthals possess a fully modern language?",No
How long did the stone tool technology of hominins change very little?,Two million years
Did Neanderthals have concern for the final aesthetic form of their tools?,No
What stage is Neanderthal's level of cultural and technological sophistication believed to be based on computer simulations?,Stage 2
When did anatomically modern humans first appear in the fossil record?,"some 200,000 years ago"
"What is the supposed evidence for the emergence of behavioral modernity in Africa, according to some archaeologists?",The use of red ochre pigments during the southern African Middle Stone Age
What is estimated time frame for the migration of humans out of Africa?,"60,000 – 50,000 years ago"
Is the human larynx descended?,true
Does the tongue act as a pharyngeal articulator in nonhumans?,No
What is unique to the human vocal tract?,permanent and substantial laryngeal descent in association with hyoidal descent
What is uniquely different about human epiglottis and velum compared to other mammals?,Simple contact between the epiglottis and velum is no longer possible.
"According to medical statistics, how common are accidents involving humans choking on food?",Extremely rare
What is a possible alternative explanation for the development of human vocal flexibility?,Improved singing ability
"What is the probable function of the lowered larynx in humans, especially males?",To enhance threat displays
"According to Ohala, which group is expected to be better adapted with a lowered larynx?",Adult human males
When do males experience a second descent of the larynx?,At puberty
What was the topic of Quentin Atkinson's 2011 publication?,A survey of phonemes from 500 different languages
"According to Atkinson's model, where did language originate?","Western, central, or southern Africa"
Does language complexity directly correlate to its age?,No
What is credited as having originated before human language in most mythologies?,A divine language
What is the Hindu goddess of speech also referred to as?,speech personified
"According to the Book of Genesis in the Old Testament, what event caused people to start speaking different languages?",The arrival of a dove
What ancient Greek historian recorded an anecdote about people attempting to discover the origin of language?,Herodotus
What was the sound of the first word spoken by one of the children raised by a shepherd in the experiment related to Pharaoh Psammetichus?,bekos
What was Psammetichus' conclusion about the first language?,Phrygian
In what year did the Linguistic Society of Paris ban all discussion of the origin of language?,1866
When did scholarly interest in the origin of language begin to revive?,The 1950s
When did dedicated research institutes of evolutionary linguistics emerge?,The 1990s
What is the primary difference between the origin of speech and the origin of language?,"Language can be written or signed, whereas speech refers specifically to spoken communication."
Do monkeys or apes use their tongues for sound production?,No
What is a striking feature of language according to the given context?,That it is modality-independent
Are sign languages of the deaf independently invented?,true
What is unique to humans compared to other animals?,Humans can lose one modality (e.g. hearing) and make up for this deficit by communicating with complete competence in a different modality (i.e. signing)
What does modality independence refer to in animal communication?,The idea that a message and its modality (the way it is conveyed) cannot be separated.
What is the characteristic of monkey and ape vocalizations?,Species-specific 'gesture-calls' inseparable from visual displays
What property allows a speaker to encode informational content in a single channel and switch between channels as necessary?,Modality independence
"In some Australian Aboriginal cultures, what is traditionally restricted by certain individuals?",A silent (manually-signed) version of their language
What is humans' first recourse when it comes to encoding their thoughts?,sound
What was the original function of the speech organs in primates?,For more basic bodily functions such as feeding and breathing
What is the most important speech articulator in phonetics?,The tongue
What is the shape of the human tongue compared to other mammals?,almost circular sagittal (midline) contour
What is the approximate ratio of cross-sectional area change that the human tongue can make in the horizontal and vertical tubes of the supralaryngeal vocal tract?,10:1
What three vowels can humans pronounce because their tubes are joined at a right angle?,"[i], [u] and [a]"
What are some characteristics of human tongues?,"They are shorter and thinner than those of other mammals, and composed of a large number of muscles."
What is suggested not to be the reason for the evolution of human lips?,"production of stops and fricatives, in addition to vowels"
What happened to the snout during primate evolution?,It became reduced
"What is the supposed evolutionary origin of mobile, muscular lips?",The evolution of diurnality and visual communication in the common ancestor of haplorhines
What is a notable difference between human breathing control and that of nonhuman primates?,"Humans have significantly enhanced control of breathing, enabling exhalations to be extended and inhalations shortened as we speak."
What is the position of the larynx or voice box compared to other primates in humans?,lower
Why do humans have a longer pharynx compared to other primates?,"Because the evolution of humans to an upright position shifted the head directly above the spinal cord, forcing everything else downward"
"What animals, besides humans, are known to temporarily lower the larynx to emit loud calls?","Goats, dogs, pigs, and tamarins"
What is accompanied by laryngeal descent in nonhumans?,Not the descent of the hyoid
"What has evolved permanently in humans, but not in other animals?",Laryngeal descent
Are human beings at serious risk of choking on food?,No
When did speech as we know it emerge in human evolution?,Roughly contemporaneously with the emergence of Homo sapiens
What is the probable function of the lowered larynx in human males?,To enhance threat displays
Do adult human male vocal cords have a lower position than those of adult females?,False
Does the initial lowering of the larynx in humans have anything to do with speech?,No
Do most specialists credit the Neanderthals with speech abilities not radically different from those of modern Homo sapiens?,True
What is the name of the gene found to be identical between Neanderthals and modern humans?,FOXP2
What is the function of the hyoid bone?,"It allows a wide range of tongue, pharyngeal and laryngeal movements"
What is not unique to Homo sapiens in terms of its lowered position?,its lowered position
What is required for determining the position of the larynx in Neanderthals?,"The skull base, the mandible, the cervical vertebrae and a cranial reference plane"
What is the role of the hypoglossal nerve?,It plays an important role in controlling movements of the tongue
What did researchers use to estimate the relative number of nerve fibers in fossil skulls?,The size of the hypoglossal canal
What is the current understanding regarding the correlation between hypoglossal canal size and nerve sizes in relation to human speech evolution?,They are not correlated.
When did the transition from an analog to a digital structure and function occur in human evolution?,"The context does not specify the exact timing of this transition, leaving it as an open question."
What is the human supralaryngeal tract said to be like?,digital
When did Roman Jakobson first advance the theory that speech sounds are composite entities constituted by complexes of binary phonetic features?,1938
What is the combination of binary-digital atomic elements that Chomsky treated semantic concepts as in his book Aspects of the Theory of Syntax?,binary-digital atomic elements explicitly on the model of distinctive features theory
What is the perspective on vowels and consonants held by supporters of this approach?,They view them as cultural entities of little scientific interest.
What can anyone generate to find all vowels and consonants in any language?,The atomic elements or 'features' with which all humans are innately equipped
What is the title of the monograph written by Peter Ladefoged and Ian Maddieson about speech sounds?,The Sounds of the World's Languages
What is Ladefoged's view on phonological features?,Phonological features are best regarded as artifacts that linguists have devised in order to describe linguistic systems.
What is a characteristic of speech sounds according to phoneticians?,They have continuous values for both perceptual and articulatory properties
What is the main factor that influences the development of syllable systems in languages?,The compromise between acoustic distinctiveness and articulatory ease
What is the main focus of the iterated learning model?,Transmission from generation to generation
Can peer-to-peer vocal interactions lead to the spontaneous self-organization of a system of sounds?,Yes
What was the focus of Berrah et al.'s (1996) and de Boer's (2000) models?,A group of individuals playing imitation games self-organizing repertoires of vowel sounds
What is the purpose of Agent B producing the vowel she thinks she heard in the game?,To check whether her chosen vowel truly matches the original one selected by Agent A
What is one of the principles that can be used to predict the emergence of vowel systems?,A principle of optimal perceptual differentiation
What is the term referred to as 'combining phonemes to build structured syllables'?,Phonemic coding
Who developed models that showed basic neural equipment for adaptive holistic vocal imitation?,Pierre-Yves Oudeyer
"According to the text, what is the original system that gave rise to human speech?",a system that was originally gestural
What is the basis of both spoken language and signing?,Similar neural structures
What happens to patients who used sign language and suffered from a left-hemisphere lesion?,They show the same disorders with their sign language as vocal patients do with their oral language
What are the primary means by which sign languages produce phonemes?,"hands, body, and facial expression"
What is one piece of evidence that supports the theory that mirror neurons are a factor in the evolution of speech?,The presence of mirror neurons in primates
What was the location of mirror neurons studied by Fogassi and Ferrari (2014)?,Area F5 in the Broca's area
What region is involved in the discovery of mirror neurons?,The brain
What is the best medium for encoding information for transmission over distances at speed for mammals?,Sound
What factor may have led early humans to abandon sound-based communication methods?,The competing demands of manual gesturing
What is the argument that most scholars remain unconvinced by regarding the transition to spoken language?,The idea that humans only made and used tools before developing spoken language
What type of environment is believed to have contributed to the evolution of pre-adaptations for spoken language?,River banks and lake shores rich in fatty acids and other brain-specific nutrients
What is a prerequisite for spoken language according to the context?,Voluntary airway control
What is known about the timing of language's emergence in the human species?,Little
Is there direct linguistic evidence available to study human origins?,No
When did linguist Johanna Nichols argue that vocal languages must have begun diversifying at least?,"100,000 years ago"
What is the estimated time period when modern Homo sapiens expanded out of Africa?,around 60-70 thousand years ago
What is one possible use of phonemic diversity in linguistics?,as a clock to calculate how long the oldest African languages would have been around
What is true about the phonemic diversity of African languages?,African languages today have some of the largest phonemic inventories in the world
"How many phonemes does !Xun, spoken in Southern Africa, have?",141
What is the estimated time period when the world's languages emerged?,Between 350 thousand and 150 thousand years ago
What is one criticism linguists have against studies that compare the number of genes to the number of phonemes in languages?,That they are based on a flawed analogy between genes and phonemes
What drives the distribution of phonemic diversity in languages?,Recent language contact
What is the primary focus of evolutionary medicine?,Understanding why evolution has shaped mechanisms that make humans susceptible to disease
